,0,1,2,3,4,5,6
0,3002405.5,117926.9921875,113456.9921875,123296.6328125,245355.1875,5044.189453125,13081.5244140625
1,582624.875,8129.96435546875,20516.376953125,56405.00390625,12556.431640625,2288.52099609375,2529.78344726562
2,336596.59375,26260.55859375,41177.3046875,95872.1015625,29246.7890625,3151.90893554687,5698.47216796875
3,2182982.25,42958.84765625,105389.734375,110686.40625,177393.84375,4657.44970703125,9141.423828125
4,845330.875,20583.87890625,36719.7265625,64783.41796875,67716.125,3198.904296875,4631.85595703125
5,1038028.9375,48520.17578125,68227.9453125,98835.15625,31311.693359375,3740.98779296875,8470.4873046875
6,2179498.75,84345.46875,111971.7109375,127625.4609375,44690.390625,4891.39404296875,14384.2021484375
7,819467.4375,41584.78125,50114.14453125,94355.5546875,6241.7470703125,3728.20947265625,7679.9853515625
8,1947657.25,41885.4296875,72206.578125,124084.171875,5445.22265625,3743.607421875,11724.6337890625
9,2059318.375,47978.7109375,75732.6796875,134117.359375,4767.5244140625,4167.63525390625,14146.8896484375
10,578727.5625,76169.1640625,64780.06640625,72160.59375,17173.72265625,3607.93408203125,8020.66015625
11,1935244.25,96363.5078125,104110.2109375,100912.8984375,42750.01953125,4670.48779296875,13408.166015625
12,674005.625,40086.26953125,58423.9296875,126083.4765625,19867.822265625,4420.291015625,9343.36328125
13,2207172,67153.3203125,99886.8359375,164056.140625,9487.2958984375,5064.40283203125,15446.75
14,2146251,92954.78125,160490.3125,195374.375,10715.27734375,7086.74072265625,22699.568359375
15,580054.8125,54585.5,64009.5078125,99945,15946.333984375,4408.732421875,9483.2041015625
16,1861904.625,96138.484375,116595.9609375,141409.859375,22629.474609375,5764.20068359375,19804.19921875
17,1659123.5,46363.23828125,124549.796875,114580.234375,246085.140625,3845.72021484375,12344.490234375
18,559638.5625,37764.09375,60706.33203125,104734.0625,28543.5625,3651.28369140625,7727.31494140625
19,653844.125,49612.4296875,79408.453125,116647.03125,30693.763671875,4362.19482421875,10627.869140625
20,889799.1875,62857.5,81158.7734375,114992.1953125,88075.15625,4892.607421875,11726.0234375
21,2951115.75,57120.77734375,106793.59375,133574.265625,109891.7734375,5697.65625,13318.029296875
22,514281.03125,35731.03125,42508.52734375,73942.2734375,34734.4453125,3966.72924804687,6250.81689453125
23,662667.5,54137.3515625,64699.16796875,87577.3046875,30699.67578125,4591.3759765625,9731.31640625
24,1665038,75235.796875,140958.59375,155023.609375,101662.921875,5990.62255859375,17528.08984375
25,3058666,123898.2890625,124785.640625,116455.8125,43586.98828125,4420.166015625,9488.2080078125
26,2799726.5,103233.359375,135488.921875,113719.078125,192444.140625,4697.42431640625,8387.365234375
27,3255509.5,152302.4375,143265.84375,155755,158486.25,6317.87109375,19317.75
28,2765287,76273.921875,123170.8828125,138803.328125,26189.9296875,5272.49755859375,14471.837890625
29,2769580.5,78036.984375,101991.2109375,94765.8671875,9664.306640625,4076.66015625,13804.3212890625
30,3043892,69371.2890625,91852.296875,117703.8359375,111263.671875,5514.6240234375,10984.0087890625
31,3149843,116183.5,145785.9375,152220.40625,66754.6875,6572.021484375,17392.67578125
32,2956211.5,99218.3359375,131363.53125,148732.4375,25500.07421875,5468.44482421875,12184.4609375
33,2761447.25,74486.328125,119787.109375,136895.703125,136682.421875,5510.15625,12632.03125
34,3137279.25,66645.265625,70302.390625,108939.109375,279859.125,3970.458984375,10986.767578125
35,2501808.75,107752.4296875,158668.09375,156714.328125,14418.322265625,6237.94482421875,23321.580078125
,,,,,,,
mean,1853667.48958333,69162.5054117839,94751.5309787326,118660.541449653,69403.646077474,4685.89046223958,11997.7812839084
SD,997569.778480444,32086.6133635127,36865.9325327072,29803.4215255972,76453.1424500055,1054.39639763594,4738.4344933965
